modelo,variante,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif
llama3:latest,P1,1,1,1,3,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3:latest,P1,1,1,1,5,arqueiro,arqueiro,neutra,neutro,1,2,suicidio
llama3:latest,P1,1,2,1,5,lanceiro,arqueiro,neutra,nao,2,2,otimo
llama3:latest,P1,1,2,1,9,lanceiro,cavaleiro,neutra,sim,1,1,otimo
llama3:latest,P1,1,3,1,15,arqueiro,lanceiro,neutra,sim,6,1,desperdicio
llama3:latest,P1,1,3,1,9,arqueiro,cavaleiro,neutra,nao,2,2,otimo
llama3:latest,P1,1,4,1,15,lanceiro,lanceiro,neutra,neutro,1,2,suicidio
llama3:latest,P1,1,4,3,19,lanceiro,arqueiro,neutra,nao,1,2,suicidio
llama3:latest,P1,1,5,1,7,arqueiro,cavaleiro,neutra,nao,1,4,suicidio
llama3:latest,P1,1,7,1,11,arqueiro,lanceiro,neutra,sim,1,2,suicidio
llama3:latest,P1,1,8,5,19,lanceiro,arqueiro,neutra,nao,1,4,suicidio
llama3:latest,P1,1,10,1,7,lanceiro,cavaleiro,neutra,sim,1,3,suicidio
llama3:latest,P1,1,11,1,7,lanceiro,cavaleiro,neutra,sim,1,3,suicidio
llama3:latest,P1,1,11,3,9,cavaleiro,cavaleiro,neutra,neutro,1,4,suicidio
llama3:latest,P1,1,12,1,7,lanceiro,cavaleiro,neutra,sim,1,3,suicidio
llama3:latest,P1,1,13,1,7,lanceiro,cavaleiro,neutra,sim,1,3,suicidio
llama3:latest,P1,1,14,1,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
llama3:latest,P1,2,1,1,3,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3:latest,P1,2,1,1,5,arqueiro,lanceiro,neutra,sim,1,1,otimo
llama3:latest,P1,2,2,1,3,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3:latest,P1,2,2,1,11,arqueiro,arqueiro,neutra,neutro,1,2,suicidio
llama3:latest,P1,2,3,1,11,arqueiro,arqueiro,neutra,neutro,1,2,suicidio
llama3:latest,P1,2,3,1,13,lanceiro,lanceiro,neutra,neutro,1,2,suicidio
llama3:latest,P1,2,4,1,19,cavaleiro,cavaleiro,neutra,neutro,5,2,desperdicio
llama3:latest,P1,2,4,1,6,lanceiro,cavaleiro,neutra,sim,2,1,desperdicio
llama3:latest,P1,2,5,3,7,lanceiro,cavaleiro,neutra,sim,3,2,desperdicio
llama3:latest,P1,2,6,1,11,arqueiro,arqueiro,neutra,neutro,2,3,suicidio
llama3:latest,P1,2,10,1,13,lanceiro,lanceiro,neutra,neutro,2,4,suicidio
llama3:latest,P1,2,12,1,15,lanceiro,cavaleiro,neutra,sim,2,3,suicidio
llama3:latest,P1,2,12,5,17,arqueiro,lanceiro,neutra,sim,1,3,suicidio
llama3:latest,P1,3,1,1,3,lanceiro,cavaleiro,neutra,sim,4,1,desperdicio
llama3:latest,P1,3,1,1,5,lanceiro,arqueiro,neutra,nao,4,2,desperdicio
llama3:latest,P1,3,3,1,17,cavaleiro,arqueiro,neutra,sim,4,1,desperdicio
llama3:latest,P1,3,3,1,23,cavaleiro,lanceiro,neutra,nao,4,2,desperdicio
llama3:latest,P1,3,4,1,17,lanceiro,arqueiro,neutra,nao,1,2,suicidio
