modelo,variante,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif
llama3.1:8b,P2,1,1,1,3,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P2,1,1,1,5,lanceiro,arqueiro,neutra,nao,4,2,desperdicio
llama3.1:8b,P2,1,2,1,9,arqueiro,cavaleiro,neutra,nao,2,2,otimo
llama3.1:8b,P2,1,2,3,4,lanceiro,,inimigo,neutro,3,1,desperdicio
llama3.1:8b,P2,1,3,5,7,lanceiro,cavaleiro,neutra,sim,2,1,desperdicio
llama3.1:8b,P2,1,4,5,9,arqueiro,cavaleiro,neutra,nao,2,2,otimo
llama3.1:8b,P2,1,5,19,6,lanceiro,cavaleiro,neutra,sim,2,2,otimo
llama3.1:8b,P2,1,6,5,7,arqueiro,cavaleiro,neutra,nao,1,4,suicidio
llama3.1:8b,P2,1,6,15,11,lanceiro,lanceiro,neutra,neutro,2,3,suicidio
llama3.1:8b,P2,1,7,1,7,arqueiro,cavaleiro,neutra,nao,2,2,otimo
llama3.1:8b,P2,1,7,3,9,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
llama3.1:8b,P2,1,8,15,23,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
llama3.1:8b,P2,1,9,3,11,lanceiro,lanceiro,neutra,neutro,1,2,suicidio
llama3.1:8b,P2,1,10,7,9,arqueiro,cavaleiro,neutra,nao,2,6,suicidio
llama3.1:8b,P2,1,10,15,11,arqueiro,lanceiro,neutra,sim,4,2,desperdicio
llama3.1:8b,P2,1,11,1,9,arqueiro,cavaleiro,neutra,nao,2,4,suicidio
llama3.1:8b,P2,1,11,3,11,lanceiro,lanceiro,neutra,neutro,1,3,suicidio
llama3.1:8b,P2,1,12,3,13,arqueiro,lanceiro,neutra,sim,1,2,suicidio
llama3.1:8b,P2,1,13,3,13,arqueiro,lanceiro,neutra,sim,1,2,suicidio
llama3.1:8b,P2,1,14,5,13,arqueiro,lanceiro,neutra,sim,4,2,desperdicio
llama3.1:8b,P2,2,1,1,3,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P2,2,1,1,11,lanceiro,arqueiro,neutra,nao,4,2,desperdicio
llama3.1:8b,P2,2,2,1,3,arqueiro,lanceiro,neutra,sim,2,1,desperdicio
llama3.1:8b,P2,2,2,1,19,arqueiro,cavaleiro,neutra,nao,2,2,otimo
llama3.1:8b,P2,2,3,3,11,arqueiro,arqueiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P2,2,4,3,11,lanceiro,arqueiro,neutra,nao,1,2,suicidio
llama3.1:8b,P2,2,5,19,5,lanceiro,lanceiro,neutra,neutro,2,3,suicidio
llama3.1:8b,P2,2,5,1,11,arqueiro,arqueiro,neutra,neutro,2,3,suicidio
llama3.1:8b,P2,2,7,3,7,lanceiro,cavaleiro,neutra,sim,2,2,otimo
llama3.1:8b,P2,2,8,11,21,arqueiro,arqueiro,neutra,neutro,1,3,suicidio
llama3.1:8b,P2,2,9,11,5,arqueiro,lanceiro,neutra,sim,5,1,desperdicio
llama3.1:8b,P2,2,9,1,13,cavaleiro,lanceiro,neutra,nao,4,4,otimo
llama3.1:8b,P2,2,11,19,13,arqueiro,lanceiro,neutra,sim,4,3,desperdicio
llama3.1:8b,P2,2,14,3,7,arqueiro,cavaleiro,neutra,nao,4,6,suicidio
llama3.1:8b,P2,2,15,13,17,lanceiro,lanceiro,neutra,neutro,9,3,desperdicio
llama3.1:8b,P2,3,1,1,3,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio
llama3.1:8b,P2,3,2,1,5,arqueiro,arqueiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P2,3,2,3,4,lanceiro,,inimigo,neutro,3,1,desperdicio
llama3.1:8b,P2,3,3,5,17,lanceiro,arqueiro,neutra,nao,2,2,otimo
llama3.1:8b,P2,3,3,1,23,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3.1:8b,P2,3,4,5,17,arqueiro,arqueiro,neutra,neutro,2,2,otimo
llama3.1:8b,P2,3,4,1,23,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3.1:8b,P2,3,6,1,7,arqueiro,cavaleiro,neutra,nao,2,4,suicidio
llama3.1:8b,P2,3,6,3,9,lanceiro,arqueiro,neutra,nao,2,4,suicidio
llama3.1:8b,P2,3,7,23,19,arqueiro,arqueiro,neutra,neutro,2,3,suicidio
llama3.1:8b,P2,3,8,23,20,lanceiro,lanceiro,neutra,neutro,2,3,suicidio
llama3.1:8b,P2,3,11,17,8,arqueiro,arqueiro,neutra,neutro,4,4,otimo
llama3.1:8b,P2,3,14,23,9,lanceiro,arqueiro,neutra,nao,2,4,suicidio
llama3.1:8b,P2,3,14,13,11,arqueiro,cavaleiro,neutra,nao,2,6,suicidio
llama3.1:8b,P2,4,2,1,3,lanceiro,arqueiro,neutra,nao,3,2,desperdicio
llama3.1:8b,P2,4,2,1,5,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P2,4,3,1,3,arqueiro,arqueiro,neutra,neutro,2,2,otimo
llama3.1:8b,P2,4,3,5,15,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3.1:8b,P2,4,4,3,15,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3.1:8b,P2,4,5,1,13,arqueiro,cavaleiro,neutra,nao,4,4,otimo
llama3.1:8b,P2,4,5,3,7,arqueiro,arqueiro,neutra,neutro,2,3,suicidio
llama3.1:8b,P2,4,6,5,7,lanceiro,arqueiro,neutra,nao,2,4,suicidio
llama3.1:8b,P2,4,8,15,19,lanceiro,arqueiro,neutra,nao,2,4,suicidio
llama3.1:8b,P2,4,9,13,6,arqueiro,arqueiro,neutra,neutro,5,3,desperdicio
llama3.1:8b,P2,4,12,15,11,arqueiro,lanceiro,neutra,sim,3,3,otimo
llama3.1:8b,P2,4,12,13,19,lanceiro,arqueiro,neutra,nao,2,6,suicidio
llama3.1:8b,P2,4,14,7,8,arqueiro,cavaleiro,neutra,nao,4,6,suicidio
llama3.1:8b,P2,5,1,1,3,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P2,5,2,1,5,arqueiro,cavaleiro,neutra,nao,3,2,desperdicio
llama3.1:8b,P2,5,2,3,21,lanceiro,arqueiro,neutra,nao,3,2,desperdicio
llama3.1:8b,P2,5,3,1,9,lanceiro,arqueiro,neutra,nao,2,2,otimo
llama3.1:8b,P2,5,4,5,21,arqueiro,arqueiro,neutra,neutro,2,2,otimo
llama3.1:8b,P2,5,5,1,7,arqueiro,lanceiro,neutra,sim,2,2,otimo
llama3.1:8b,P2,5,6,21,7,cavaleiro,lanceiro,neutra,nao,3,4,suicidio
llama3.1:8b,P2,5,6,1,9,arqueiro,arqueiro,neutra,neutro,2,3,suicidio
llama3.1:8b,P2,5,7,3,19,lanceiro,cavaleiro,neutra,sim,2,2,otimo
llama3.1:8b,P2,5,8,5,23,arqueiro,arqueiro,neutra,neutro,1,3,suicidio
llama3.1:8b,P2,5,9,21,14,lanceiro,lanceiro,neutra,neutro,1,3,suicidio
llama3.1:8b,P2,5,10,11,13,arqueiro,lanceiro,neutra,sim,3,3,otimo
llama3.1:8b,P2,5,11,21,9,lanceiro,arqueiro,neutra,nao,1,6,suicidio
llama3.1:8b,P2,5,12,19,9,lanceiro,arqueiro,neutra,nao,1,6,suicidio
llama3.1:8b,P2,5,14,1,7,lanceiro,lanceiro,neutra,neutro,1,4,suicidio
llama3.1:8b,P2,5,15,21,9,arqueiro,arqueiro,neutra,neutro,1,6,suicidio
