modelo,variante,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif
qwen2.5:3b,P0,1,1,1,9,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio
qwen2.5:3b,P0,1,1,1,10,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio
qwen2.5:3b,P0,1,2,1,5,lanceiro,arqueiro,neutra,nao,1,2,suicidio
qwen2.5:3b,P0,1,2,3,9,lanceiro,cavaleiro,neutra,sim,1,1,otimo
qwen2.5:3b,P0,1,3,3,5,lanceiro,arqueiro,neutra,nao,1,2,suicidio
qwen2.5:3b,P0,1,3,3,9,cavaleiro,cavaleiro,neutra,neutro,1,2,suicidio
qwen2.5:3b,P0,1,5,3,5,arqueiro,arqueiro,neutra,neutro,2,3,suicidio
qwen2.5:3b,P0,1,5,3,6,arqueiro,cavaleiro,neutra,nao,2,4,suicidio
qwen2.5:3b,P0,1,6,3,5,lanceiro,arqueiro,neutra,nao,2,2,otimo
qwen2.5:3b,P0,1,6,3,6,lanceiro,cavaleiro,neutra,sim,2,2,otimo
qwen2.5:3b,P0,1,8,3,9,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
qwen2.5:3b,P0,1,8,3,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
qwen2.5:3b,P0,1,9,5,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
qwen2.5:3b,P0,1,9,5,8,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
qwen2.5:3b,P0,1,15,5,7,lanceiro,cavaleiro,neutra,sim,1,4,suicidio
qwen2.5:3b,P0,1,15,5,9,lanceiro,cavaleiro,neutra,sim,1,4,suicidio
qwen2.5:3b,P0,2,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio
qwen2.5:3b,P0,2,1,1,5,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio
qwen2.5:3b,P0,2,3,3,14,cavaleiro,cavaleiro,neutra,neutro,1,2,suicidio
qwen2.5:3b,P0,2,4,1,4,lanceiro,lanceiro,neutra,neutro,1,2,suicidio
qwen2.5:3b,P0,2,4,1,6,lanceiro,cavaleiro,neutra,sim,1,1,otimo
qwen2.5:3b,P0,2,5,3,21,arqueiro,arqueiro,neutra,neutro,2,3,suicidio
qwen2.5:3b,P0,2,5,3,8,arqueiro,lanceiro,neutra,sim,2,2,otimo
qwen2.5:3b,P0,2,6,3,11,lanceiro,arqueiro,neutra,nao,2,4,suicidio
qwen2.5:3b,P0,2,9,3,9,lanceiro,lanceiro,neutra,neutro,1,3,suicidio
qwen2.5:3b,P0,2,9,5,8,arqueiro,lanceiro,neutra,sim,2,2,otimo
qwen2.5:3b,P0,2,10,5,13,lanceiro,lanceiro,neutra,neutro,4,4,otimo
qwen2.5:3b,P0,2,11,5,11,lanceiro,arqueiro,neutra,nao,1,4,suicidio
qwen2.5:3b,P0,2,14,5,7,lanceiro,cavaleiro,neutra,sim,3,3,otimo
qwen2.5:3b,P0,2,15,11,9,cavaleiro,lanceiro,neutra,nao,1,8,suicidio
qwen2.5:3b,P0,2,15,11,8,cavaleiro,lanceiro,neutra,nao,1,8,suicidio
qwen2.5:3b,P0,3,1,1,3,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio
qwen2.5:3b,P0,3,1,1,5,lanceiro,arqueiro,neutra,nao,5,2,desperdicio
qwen2.5:3b,P0,3,2,3,17,lanceiro,arqueiro,neutra,nao,2,2,otimo
qwen2.5:3b,P0,3,2,3,7,cavaleiro,cavaleiro,neutra,neutro,1,2,suicidio
qwen2.5:3b,P0,3,3,5,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo
qwen2.5:3b,P0,3,3,5,21,lanceiro,lanceiro,neutra,neutro,1,2,suicidio
qwen2.5:3b,P0,3,5,5,9,arqueiro,arqueiro,neutra,neutro,2,3,suicidio
qwen2.5:3b,P0,3,5,5,10,arqueiro,cavaleiro,neutra,nao,2,4,suicidio
qwen2.5:3b,P0,3,6,17,9,lanceiro,arqueiro,neutra,nao,2,4,suicidio
qwen2.5:3b,P0,3,6,3,10,arqueiro,cavaleiro,neutra,nao,2,4,suicidio
qwen2.5:3b,P0,3,7,5,19,lanceiro,arqueiro,neutra,nao,1,4,suicidio
qwen2.5:3b,P0,3,7,5,20,lanceiro,lanceiro,neutra,neutro,1,3,suicidio
qwen2.5:3b,P0,3,8,3,19,lanceiro,arqueiro,neutra,nao,1,4,suicidio
qwen2.5:3b,P0,3,8,5,11,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
qwen2.5:3b,P0,3,9,3,19,lanceiro,arqueiro,neutra,nao,1,4,suicidio
qwen2.5:3b,P0,3,9,5,19,lanceiro,arqueiro,neutra,nao,1,4,suicidio
qwen2.5:3b,P0,3,10,5,9,lanceiro,arqueiro,neutra,nao,1,4,suicidio
qwen2.5:3b,P0,3,13,5,9,lanceiro,arqueiro,neutra,nao,1,4,suicidio
qwen2.5:3b,P0,4,1,1,3,lanceiro,arqueiro,neutra,nao,5,2,desperdicio
qwen2.5:3b,P0,4,1,1,5,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio
qwen2.5:3b,P0,4,2,1,3,lanceiro,arqueiro,neutra,nao,1,2,suicidio
qwen2.5:3b,P0,4,2,5,2,lanceiro,arqueiro,neutra,nao,1,2,suicidio
qwen2.5:3b,P0,4,3,5,7,lanceiro,arqueiro,neutra,nao,1,2,suicidio
qwen2.5:3b,P0,4,3,5,8,lanceiro,cavaleiro,neutra,sim,1,1,otimo
qwen2.5:3b,P0,4,4,3,7,lanceiro,arqueiro,neutra,nao,7,2,desperdicio
qwen2.5:3b,P0,4,4,3,6,lanceiro,arqueiro,neutra,nao,7,2,desperdicio
qwen2.5:3b,P0,4,5,5,10,arqueiro,lanceiro,neutra,sim,2,2,otimo
qwen2.5:3b,P0,4,7,5,7,lanceiro,arqueiro,neutra,nao,2,4,suicidio
qwen2.5:3b,P0,4,8,5,7,lanceiro,arqueiro,neutra,nao,1,4,suicidio
qwen2.5:3b,P0,4,9,5,7,cavaleiro,arqueiro,neutra,sim,1,2,suicidio
qwen2.5:3b,P0,5,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio
qwen2.5:3b,P0,5,1,1,21,lanceiro,arqueiro,neutra,nao,5,2,desperdicio
qwen2.5:3b,P0,5,2,1,23,lanceiro,arqueiro,neutra,nao,1,2,suicidio
qwen2.5:3b,P0,5,2,1,6,lanceiro,lanceiro,neutra,neutro,1,2,suicidio
qwen2.5:3b,P0,5,3,3,5,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio
