modelo,variante,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif
llama3:latest,P0,1,1,1,3,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3:latest,P0,1,1,1,5,lanceiro,arqueiro,neutra,nao,2,2,otimo
llama3:latest,P0,1,2,1,9,arqueiro,cavaleiro,neutra,nao,3,2,desperdicio
llama3:latest,P0,1,2,1,15,arqueiro,lanceiro,neutra,sim,3,1,desperdicio
llama3:latest,P0,1,3,1,6,cavaleiro,cavaleiro,neutra,neutro,1,2,suicidio
llama3:latest,P0,1,4,1,7,arqueiro,cavaleiro,neutra,nao,1,2,suicidio
llama3:latest,P0,1,4,1,9,arqueiro,cavaleiro,neutra,nao,1,2,suicidio
llama3:latest,P0,1,5,1,7,arqueiro,cavaleiro,neutra,nao,1,4,suicidio
llama3:latest,P0,1,6,1,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
llama3:latest,P0,1,6,3,9,lanceiro,cavaleiro,neutra,sim,2,2,otimo
llama3:latest,P0,1,8,1,7,lanceiro,cavaleiro,neutra,sim,2,2,otimo
llama3:latest,P0,2,1,1,3,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3:latest,P0,2,1,1,5,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3:latest,P0,2,2,1,3,arqueiro,lanceiro,neutra,sim,3,1,desperdicio
llama3:latest,P0,2,2,1,5,arqueiro,lanceiro,neutra,sim,3,1,desperdicio
llama3:latest,P0,2,3,1,19,arqueiro,cavaleiro,neutra,nao,1,2,suicidio
llama3:latest,P0,2,3,3,11,arqueiro,arqueiro,neutra,neutro,3,2,desperdicio
llama3:latest,P0,2,4,5,19,arqueiro,arqueiro,inimigo,neutro,3,3,otimo
llama3:latest,P0,2,6,3,19,lanceiro,arqueiro,inimigo,nao,1,12,suicidio
llama3:latest,P0,2,7,1,11,arqueiro,arqueiro,neutra,neutro,3,3,otimo
llama3:latest,P0,2,8,19,18,arqueiro,lanceiro,inimigo,sim,7,1,desperdicio
llama3:latest,P0,2,10,3,15,arqueiro,cavaleiro,neutra,nao,1,6,suicidio
llama3:latest,P0,2,13,1,17,lanceiro,lanceiro,neutra,neutro,2,4,suicidio
llama3:latest,P0,2,14,3,9,arqueiro,lanceiro,neutra,sim,1,3,suicidio
llama3:latest,P0,3,1,1,3,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio
llama3:latest,P0,3,1,1,5,lanceiro,arqueiro,neutra,nao,3,2,desperdicio
llama3:latest,P0,3,2,1,17,arqueiro,arqueiro,neutra,neutro,2,2,otimo
llama3:latest,P0,3,2,1,23,arqueiro,lanceiro,neutra,sim,2,1,desperdicio
llama3:latest,P0,3,3,3,23,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio
llama3:latest,P0,3,4,1,9,arqueiro,arqueiro,neutra,neutro,1,2,suicidio
llama3:latest,P0,3,5,1,6,arqueiro,cavaleiro,neutra,nao,2,4,suicidio
llama3:latest,P0,3,7,1,7,lanceiro,cavaleiro,neutra,sim,2,2,otimo
llama3:latest,P0,3,7,3,6,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
llama3:latest,P0,3,14,1,9,arqueiro,arqueiro,neutra,neutro,2,4,suicidio
llama3:latest,P0,3,14,5,11,lanceiro,cavaleiro,neutra,sim,5,3,desperdicio
llama3:latest,P0,4,1,1,3,lanceiro,arqueiro,neutra,nao,4,2,desperdicio
llama3:latest,P0,4,1,1,5,lanceiro,lanceiro,neutra,neutro,4,2,desperdicio
llama3:latest,P0,4,2,1,3,cavaleiro,arqueiro,neutra,sim,2,1,desperdicio
llama3:latest,P0,4,2,1,15,cavaleiro,lanceiro,neutra,nao,1,2,suicidio
