modelo,variante,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif
llama3.1:8b,P0,1,1,1,3,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P0,1,1,1,5,lanceiro,arqueiro,neutra,nao,4,2,desperdicio
llama3.1:8b,P0,1,2,1,9,arqueiro,cavaleiro,neutra,nao,2,2,otimo
llama3.1:8b,P0,1,2,3,15,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P0,1,3,5,15,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3.1:8b,P0,1,4,5,9,arqueiro,cavaleiro,neutra,nao,1,2,suicidio
llama3.1:8b,P0,1,5,5,7,arqueiro,cavaleiro,neutra,nao,2,4,suicidio
llama3.1:8b,P0,1,5,15,6,lanceiro,cavaleiro,neutra,sim,5,2,desperdicio
llama3.1:8b,P0,1,6,1,7,arqueiro,cavaleiro,neutra,nao,4,4,otimo
llama3.1:8b,P0,1,6,3,11,lanceiro,lanceiro,neutra,neutro,1,3,suicidio
llama3.1:8b,P0,1,9,1,9,arqueiro,cavaleiro,neutra,nao,2,4,suicidio
llama3.1:8b,P0,1,9,3,11,lanceiro,lanceiro,neutra,neutro,1,3,suicidio
llama3.1:8b,P0,1,10,3,19,arqueiro,arqueiro,neutra,neutro,1,4,suicidio
llama3.1:8b,P0,1,11,1,9,lanceiro,cavaleiro,neutra,sim,1,3,suicidio
llama3.1:8b,P0,1,13,15,9,lanceiro,cavaleiro,neutra,sim,4,2,desperdicio
llama3.1:8b,P0,1,13,20,19,lanceiro,arqueiro,neutra,nao,3,6,suicidio
llama3.1:8b,P0,1,15,7,12,lanceiro,lanceiro,neutra,neutro,7,3,desperdicio
llama3.1:8b,P0,2,1,1,2,arqueiro,lanceiro,neutra,sim,3,1,desperdicio
llama3.1:8b,P0,2,1,1,11,arqueiro,arqueiro,neutra,neutro,2,2,otimo
llama3.1:8b,P0,2,2,1,3,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P0,2,2,1,5,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P0,2,3,1,3,arqueiro,lanceiro,neutra,sim,3,1,desperdicio
llama3.1:8b,P0,2,3,1,5,arqueiro,lanceiro,neutra,sim,3,1,desperdicio
llama3.1:8b,P0,2,4,3,11,lanceiro,arqueiro,neutra,nao,6,2,desperdicio
llama3.1:8b,P0,2,4,5,7,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio
llama3.1:8b,P0,2,4,19,13,arqueiro,lanceiro,neutra,sim,2,1,desperdicio
llama3.1:8b,P0,2,7,11,21,arqueiro,arqueiro,neutra,neutro,3,3,otimo
llama3.1:8b,P0,2,8,1,13,arqueiro,lanceiro,neutra,sim,2,2,otimo
llama3.1:8b,P0,2,8,11,4,cavaleiro,lanceiro,neutra,nao,4,2,desperdicio
llama3.1:8b,P0,2,9,11,13,lanceiro,lanceiro,neutra,neutro,4,3,desperdicio
llama3.1:8b,P0,2,9,17,21,arqueiro,arqueiro,neutra,neutro,2,3,suicidio
llama3.1:8b,P0,2,10,13,7,cavaleiro,cavaleiro,neutra,neutro,3,4,suicidio
llama3.1:8b,P0,2,11,19,15,arqueiro,cavaleiro,neutra,nao,3,4,suicidio
llama3.1:8b,P0,2,11,13,7,lanceiro,cavaleiro,neutra,sim,6,3,desperdicio
llama3.1:8b,P0,2,12,15,21,arqueiro,arqueiro,neutra,neutro,3,3,otimo
llama3.1:8b,P0,3,1,1,3,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio
llama3.1:8b,P0,3,1,1,5,lanceiro,arqueiro,neutra,nao,4,2,desperdicio
llama3.1:8b,P0,3,2,1,17,arqueiro,arqueiro,neutra,neutro,2,2,otimo
llama3.1:8b,P0,3,2,3,7,lanceiro,cavaleiro,neutra,sim,3,1,desperdicio
llama3.1:8b,P0,3,3,5,17,arqueiro,arqueiro,neutra,neutro,2,2,otimo
llama3.1:8b,P0,3,3,1,23,lanceiro,lanceiro,neutra,neutro,1,2,suicidio
llama3.1:8b,P0,3,4,5,9,lanceiro,arqueiro,neutra,nao,2,2,otimo
llama3.1:8b,P0,3,5,5,9,arqueiro,arqueiro,neutra,neutro,1,3,suicidio
llama3.1:8b,P0,3,6,17,13,arqueiro,lanceiro,neutra,sim,4,2,desperdicio
llama3.1:8b,P0,3,7,17,13,arqueiro,lanceiro,neutra,sim,2,2,otimo
llama3.1:8b,P0,3,7,23,20,lanceiro,lanceiro,neutra,neutro,1,3,suicidio
llama3.1:8b,P0,3,8,17,20,lanceiro,lanceiro,neutra,neutro,1,3,suicidio
llama3.1:8b,P0,3,9,1,7,arqueiro,cavaleiro,neutra,nao,2,4,suicidio
llama3.1:8b,P0,3,10,3,19,lanceiro,arqueiro,neutra,nao,2,6,suicidio
llama3.1:8b,P0,3,10,13,8,arqueiro,arqueiro,neutra,neutro,5,4,desperdicio
llama3.1:8b,P0,4,1,1,3,lanceiro,arqueiro,neutra,nao,3,2,desperdicio
llama3.1:8b,P0,4,1,1,5,lanceiro,lanceiro,neutra,neutro,3,2,desperdicio
llama3.1:8b,P0,4,2,1,3,arqueiro,arqueiro,neutra,neutro,2,2,otimo
llama3.1:8b,P0,4,2,5,15,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3.1:8b,P0,4,3,1,13,arqueiro,cavaleiro,neutra,nao,3,2,desperdicio
llama3.1:8b,P0,4,3,3,15,lanceiro,lanceiro,neutra,neutro,2,2,otimo
llama3.1:8b,P0,4,5,1,11,arqueiro,lanceiro,neutra,sim,2,2,otimo
llama3.1:8b,P0,4,5,3,19,arqueiro,arqueiro,neutra,neutro,2,3,suicidio
llama3.1:8b,P0,4,7,5,7,lanceiro,arqueiro,neutra,nao,1,4,suicidio
llama3.1:8b,P0,4,8,1,7,lanceiro,arqueiro,neutra,nao,1,4,suicidio
