modelo,variante,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif
qwen2.5:3b,P1,1,1,1,9,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio
qwen2.5:3b,P1,1,1,1,10,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio
qwen2.5:3b,P1,1,2,1,5,lanceiro,arqueiro,neutra,nao,1,2,suicidio
qwen2.5:3b,P1,1,3,3,5,cavaleiro,arqueiro,neutra,sim,1,1,otimo
qwen2.5:3b,P1,1,7,3,9,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
qwen2.5:3b,P1,1,8,3,9,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
qwen2.5:3b,P1,1,8,3,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio
qwen2.5:3b,P1,1,9,3,9,lanceiro,cavaleiro,neutra,sim,2,2,otimo
qwen2.5:3b,P1,1,9,3,7,lanceiro,cavaleiro,neutra,sim,2,2,otimo
qwen2.5:3b,P1,1,11,5,7,cavaleiro,cavaleiro,neutra,neutro,1,4,suicidio
qwen2.5:3b,P1,1,11,5,8,cavaleiro,cavaleiro,neutra,neutro,1,4,suicidio
qwen2.5:3b,P1,2,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio
qwen2.5:3b,P1,2,1,1,5,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio
qwen2.5:3b,P1,2,2,1,3,lanceiro,lanceiro,neutra,neutro,1,2,suicidio
qwen2.5:3b,P1,2,2,1,5,lanceiro,lanceiro,neutra,neutro,1,2,suicidio
qwen2.5:3b,P1,2,3,3,8,cavaleiro,lanceiro,neutra,nao,1,2,suicidio
qwen2.5:3b,P1,2,5,3,14,arqueiro,cavaleiro,neutra,nao,2,4,suicidio
qwen2.5:3b,P1,2,5,3,8,arqueiro,lanceiro,neutra,sim,2,2,otimo
qwen2.5:3b,P1,2,10,3,8,lanceiro,lanceiro,neutra,neutro,1,4,suicidio
qwen2.5:3b,P1,2,10,3,9,lanceiro,lanceiro,neutra,neutro,1,4,suicidio
qwen2.5:3b,P1,2,11,3,8,lanceiro,lanceiro,neutra,neutro,1,4,suicidio
qwen2.5:3b,P1,2,11,3,9,lanceiro,lanceiro,neutra,neutro,1,4,suicidio
qwen2.5:3b,P1,2,12,3,9,lanceiro,lanceiro,neutra,neutro,1,4,suicidio
qwen2.5:3b,P1,2,12,5,14,lanceiro,cavaleiro,neutra,sim,1,3,suicidio
qwen2.5:3b,P1,2,13,5,17,cavaleiro,lanceiro,neutra,nao,1,6,suicidio
qwen2.5:3b,P1,2,15,5,9,lanceiro,lanceiro,neutra,neutro,1,6,suicidio
qwen2.5:3b,P1,2,15,5,16,lanceiro,lanceiro,neutra,neutro,1,6,suicidio
qwen2.5:3b,P1,3,1,1,3,lanceiro,cavaleiro,neutra,sim,5,1,desperdicio
