modelo,braco,seed,turno,origemId,destinoId,tipoEnviado,tipoAlvo,alvoDono,counter,Fatk,minimo,classif,gap,temLanceiro,exemploTipo,exemploNEnvios
qwen2.5:3b,E2,1,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E2,1,1,1,5,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1,lanceiro,2
qwen2.5:3b,E2,1,2,3,9,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,1
qwen2.5:3b,E2,1,3,3,9,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E2,1,3,3,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E2,1,5,1,9,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,2
qwen2.5:3b,E2,1,5,3,15,lanceiro,lanceiro,neutra,neutro,1,3,suicidio,2,1,lanceiro,2
qwen2.5:3b,E2,1,6,3,7,lanceiro,cavaleiro,neutra,sim,1,2,suicidio,1,1,lanceiro,1
qwen2.5:3b,E2,1,7,3,7,arqueiro,cavaleiro,neutra,nao,3,4,suicidio,1,0,lanceiro,1
qwen2.5:3b,E2,1,8,5,19,lanceiro,arqueiro,neutra,nao,2,4,suicidio,2,1,lanceiro,3
qwen2.5:3b,E2,1,8,5,13,lanceiro,lanceiro,neutra,neutro,2,3,suicidio,1,1,lanceiro,3
qwen2.5:3b,E2,1,9,5,6,arqueiro,cavaleiro,neutra,nao,3,4,suicidio,1,0,lanceiro,1
qwen2.5:3b,E2,2,1,1,3,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,3
qwen2.5:3b,E2,2,1,1,5,lanceiro,lanceiro,neutra,neutro,5,2,desperdicio,-3,1,lanceiro,3
qwen2.5:3b,E2,2,1,1,11,lanceiro,arqueiro,neutra,nao,5,2,desperdicio,-3,1,lanceiro,3
qwen2.5:3b,E2,2,2,1,3,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,lanceiro,3
qwen2.5:3b,E2,2,2,1,5,lanceiro,lanceiro,neutra,neutro,1,2,suicidio,1,1,lanceiro,3
qwen2.5:3b,E2,2,3,5,21,arqueiro,arqueiro,neutra,neutro,1,2,suicidio,1,0,lanceiro,2
qwen2.5:3b,E2,2,3,3,7,lanceiro,cavaleiro,neutra,sim,1,1,otimo,0,1,lanceiro,2
qwen2.5:3b,E2,2,4,5,19,arqueiro,cavaleiro,neutra,nao,1,2,suicidio,1,0,lanceiro,1
