2026-07-04-11-09-15 | ollama:llama3.2:3b | temp=0 | rejfim=0 | seed=1 | turnosRei=30 | seqMax=3 | repetidos=8 | enviosAceitos=1 | agencia=0.03 | validade=30/30 | rejeicoes=60 | normalizacoes=1 | resultado=limite/30t
2026-07-05-17-21-11 | ollama:llama3.2:3b | temp=0 | rejfim=0 | seed=1 | turnosRei=30 | seqMax=2 | repetidos=5 | reincid=22 | reincMax=5(envio@18>12) | enviosAceitos=1 | agencia=0.03 | validade=30/30 | rejeicoes=55 | normalizacoes=1 | resultado=limite/30t
2026-07-05-17-24-00 | ollama:llama3.2:3b | temp=0.3 | rejfim=0 | seed=1 | turnosRei=18 | seqMax=1 | repetidos=1 | reincid=14 | reincMax=4(construir@19) | enviosAceitos=3 | agencia=0.17 | validade=18/18 | rejeicoes=34 | normalizacoes=2 | resultado=A/19t
2026-07-05-17-26-50 | ollama:llama3.2:3b | temp=0.3 | rejfim=0 | seed=1 | turnosRei=30 | seqMax=1 | repetidos=1 | reincid=12 | reincMax=3(envio@18>12) | enviosAceitos=4 | agencia=0.13 | validade=29/30 | rejeicoes=46 | normalizacoes=1 | resultado=limite/30t
2026-07-05-17-30-04 | ollama:llama3.2:3b | temp=0.3 | rejfim=0 | seed=1 | turnosRei=30 | seqMax=1 | repetidos=1 | reincid=13 | reincMax=4(construir@10) | enviosAceitos=2 | agencia=0.07 | validade=29/30 | rejeicoes=51 | normalizacoes=1 | resultado=limite/30t
2026-07-05-17-32-57 | ollama:llama3.2:3b | temp=0.7 | rejfim=0 | seed=1 | turnosRei=30 | seqMax=0 | repetidos=0 | reincid=8 | reincMax=2(construir@10) | enviosAceitos=3 | agencia=0.10 | validade=24/30 | rejeicoes=35 | normalizacoes=1 | resultado=limite/30t
2026-07-05-17-36-11 | ollama:llama3.2:3b | temp=0.7 | rejfim=0 | seed=1 | turnosRei=27 | seqMax=0 | repetidos=0 | reincid=7 | reincMax=3(envio@18>11) | enviosAceitos=2 | agencia=0.07 | validade=27/27 | rejeicoes=49 | normalizacoes=3 | resultado=A/28t
2026-07-05-17-38-40 | ollama:llama3.2:3b | temp=0.7 | rejfim=0 | seed=1 | turnosRei=30 | seqMax=0 | repetidos=0 | reincid=6 | reincMax=3(construir@10) | enviosAceitos=3 | agencia=0.10 | validade=27/30 | rejeicoes=51 | normalizacoes=3 | resultado=limite/30t
2026-07-05-17-46-29 | ollama:llama3.2:3b | temp=0 | rejfim=0 | seed=1 | turnosRei=30 | seqMax=2 | repetidos=5 | reincid=22 | reincMax=5(envio@18>12) | enviosAceitos=1 | agencia=0.03 | validade=30/30 | rejeicoes=55 | normalizacoes=1 | resultado=limite/30t
2026-07-05-17-48-57 | ollama:llama3.2:3b | temp=0 | rejfim=1 | seed=1 | turnosRei=27 | seqMax=1 | repetidos=1 | reincid=2 | reincMax=1(envio@18>6) | enviosAceitos=7 | agencia=0.26 | validade=27/27 | rejeicoes=40 | normalizacoes=1 | resultado=A/28t
2026-07-05-17-58-47 | ollama:llama3.2:3b | temp=0 | rejfim=1 | seed=1 | turnosRei=30 | seqMax=1 | repetidos=2 | reincid=13 | reincMax=5(envio@18>4) | enviosAceitos=7 | agencia=0.23 | validade=29/30 | rejeicoes=45 | normalizacoes=1 | resultado=limite/30t
2026-07-05-18-01-27 | ollama:llama3.2:3b | temp=0 | rejfim=1 | seed=1 | turnosRei=30 | seqMax=1 | repetidos=1 | reincid=8 | reincMax=3(envio@18>4) | enviosAceitos=7 | agencia=0.23 | validade=29/30 | rejeicoes=39 | normalizacoes=1 | resultado=limite/30t
2026-07-05-18-03-51 | ollama:llama3.2:3b | temp=0 | rejfim=0 | seed=1 | turnosRei=30 | seqMax=2 | repetidos=4 | reincid=21 | reincMax=5(envio@18>4) | enviosAceitos=2 | agencia=0.07 | validade=30/30 | rejeicoes=54 | normalizacoes=1 | resultado=limite/30t
